species_id,temp_hot,temp_center,temp_cold,comp_high
18032ABIBAL,0.07807417046193882,0.2528538475187792,0.4066363044892648,42.24799907256689
18034PICRUB,0.2114508783344177,0.3340923877683799,0.48145738451528947,44.65538162841143
18048JUNVIR,0.42094990240728686,0.6473649967469095,0.8620689655172413,34.59991171578077
18086LIRTUL,0.4662719583604424,0.6128822381262199,0.8270982433311644,60.39204593487439
183295PICGLA,0.11212318369117326,0.27290765408424555,0.413142485361093,44.03845708629601
183302PICMAR,0.05855562784645412,0.1847755367599219,0.3734547820429408,41.80964867546511
183319PINBAN,0.0715679895901106,0.2239210583387551,0.43266102797657774,31.450747000879723
183385PINSTR,0.24072869225764473,0.3994795055302537,0.6668835393623942,64.1784759379303
183397TSUCAN,0.27572289932120003,0.3974192149208414,0.6507482108002584,65.32544599515607
19027LIQSTY,0.6050748210800261,0.7644762524398178,0.8994795055302537,47.78750515430123
19231CARGLA,0.43721535458685745,0.6104966384732161,0.8490566037735849,31.055307010677527
19290QUEALB,0.38711776187378,0.6180871828236825,0.8132726089785296,40.990388775750915
19408QUERUB,0.28627195836044245,0.4404684450227716,0.716330513988289,53.38670852170431
19422QUESTE,0.5920624593363695,0.7091737150292777,0.8718282368249836,36.56920353808195
19447QUEVEL,0.3968770331815224,0.607243548037302,0.7482108002602472,44.32278141244761
19462FAGGRA,0.2504879635653871,0.3643461288223812,0.7846454131424853,35.249509737678686
19481BETALL,0.2016916070266753,0.31685100845803504,0.5009759271307742,31.7003589237852
19489BETPAP,0.10084580351333765,0.2625708708987824,0.43331164606376055,27.315890464883132
19511OSTVIR,0.27000650618087185,0.359022889927249,0.8360442420299284,11.985460301012862
195773POPTRE,0.15614834092387767,0.30318802862719585,0.45673389720234214,37.35746285467732
21536TILAME,0.27976577748861414,0.36824983734547817,0.7876341899804816,48.51336688828273
22463POPGRA,0.23561669300120824,0.36759921925829536,0.5476035567122098,50.80700556513712
24764PRUSER,0.28673668556557297,0.4600799330792824,0.8181522446324007,45.56741725115594
27821NYSSYL,0.4450227716330514,0.6506180871828237,0.8502212101496418,39.822619524320515
28728ACERUB,0.22446324007807414,0.36783158286086065,0.8477553675992193,40.016745336896975
28731ACESAC,0.23422251138581648,0.33767078724788546,0.6304988072001725,43.21831405642258
32929FRAPEN,0.29928432010409883,0.5074821080026024,0.8772153545868566,43.471220200446865
32931FRAAME,0.3057905009759271,0.4450227716330514,0.8010735198438516,41.0533892335591
32945FRANIG,0.24723487312947298,0.3448275862068965,0.4716981132075471,35.72035526445573
505490THUOCC,0.22446324007807414,0.34287573194534804,0.43916720884840593,73.5429363315639
NACARALB,0.4819236608111038,0.6603773584905659,0.8295380611581001,24.36248804074748
NAQUEPRI,0.4359141184124918,0.5634352635003252,0.708523096942095,50.952599924569455
